title,country,rating,listed_in,description
Battle Drone,United States,TV-MA,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","A team of mercenaries working with the CIA accepts an off-the-books mission in Chernobyl, where deadly human-controlled droids prepare an ambush."
Diagnosis,United States,TV-14,"Docuseries, Science & Nature TV",Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.
Dave Chappelle,United States,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
The Cakemaker,"Israel, Germany",TV-14,"Dramas, Independent Movies, International Movies","When a German baker travels to Jerusalem in search of his dead male lover’s family, his growing involvement with them may expose his truth."
Natalie Palamides: Nate - A One Man Show,United States,TV-MA,Comedies,"Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent — with a live audience."
3 Days to Kill,"United States, France, Serbia",PG-13,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
Feel Rich,United States,TV-MA,Documentaries,"Talking squarely to the hip-hop generation, musicians, athletes and others outline the benefits of exercise, a healthy diet and spiritual wellness."
Wake Up,,TV-14,"International TV Shows, TV Dramas","After taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system."
The Devil All The Time,United States,R,"Dramas, Thrillers",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Coraline,United States,PG,Children & Family Movies,Curious young Coraline unlocks a door in her family's home and is transported to a universe that strangely resembles her own – only better.
R.L. Stine's Mostly Ghostly,United States,PG,"Children & Family Movies, Comedies","After discovering a pair of young ghosts, a nebbish 11-year-old agrees to help the sibling spirits solve the mystery surrounding their demise."
Drishyam,India,TV-14,"Dramas, International Movies, Thrillers",An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.
Ije: The Journey,"United States, Nigeria",TV-MA,"Dramas, International Movies","When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom."
LAST HOPE,Japan,TV-14,"Anime Series, International TV Shows","After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created."
Crime Stories: India Detectives,,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
Ali Wong: Hard Knock Wife,United States,TV-MA,Stand-Up Comedy,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
The Congress,"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",TV-MA,"Dramas, International Movies, Sci-Fi & Fantasy",Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.
Jerry Before Seinfeld,United States,TV-14,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy."
Community,United States,TV-14,TV Comedies,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
Christian Mingle,United States,PG,"Comedies, Faith & Spirituality, Romantic Movies",A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.
Wrong Kind of Black,Australia,TV-MA,"International TV Shows, TV Comedies, TV Dramas","In 1970s Melbourne, a DJ named Boori Monty Pryor and his brother Paul navigate racial tensions and police encounters amid disco and discrimination."
Hard Kill,United States,R,Action & Adventure,"When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter’s life are also at stake."
Night Comes On,United States,TV-MA,"Dramas, Independent Movies",A teen fresh out of juvenile detention tries to rescue her sister from foster care in order to exact revenge on their father for their mother's murder.
No Other Woman,Philippines,TV-MA,"Dramas, International Movies, Romantic Movies","A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle."
Spiritual House,,TV-PG,"International TV Shows, Stand-Up Comedy & Talk Shows","Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations, probing into their issues and spotlighting their accomplishments."
Secrets of Althorp - The Spencers,United States,TV-PG,"Documentaries, International Movies","Princess Diana's brother, Charles, the ninth Earl Spencer, leads a tour of Althorp House, the manor the Spencer family has called home for 500 years."
Pup Star,Canada,G,"Children & Family Movies, Comedies","After a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure."
Battle Creek,United States,TV-14,"Crime TV Shows, TV Comedies, TV Dramas","A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct."
Kath and Kim,Australia,TV-MA,TV Comedies,"As Kath prepares to wed fine-meats purveyor Kel, her daughter Kim moves back home after becoming disillusioned with her two-month marriage to Brett."
Vodka Diaries,India,TV-14,"Dramas, International Movies, Thrillers","While investigating a series of murders and the nightclub that links them, a detective’s case takes an alarming turn when his wife goes missing."
ONE PIECE,Japan,TV-14,Anime Series,Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.
Gabru: Hip Hop Revolution,India,TV-14,"International TV Shows, TV Dramas","Three young, aspiring Indian rappers make their way in a cutthroat music industry, dreaming of fame, stardom and ultimate hip-hop domination ."
Bobby Jasoos,India,TV-14,"Comedies, Dramas, International Movies","With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger."
Monster House,United States,PG,"Children & Family Movies, Comedies","A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own."
The Gentleman Driver,United States,TV-MA,"Documentaries, Sports Movies","This documentary follows four tycoons who moonlight as motorsport competitors and examines what fuels them to succeed, both at work and on the track."
Danger Mouse,United Kingdom,TV-Y7,"British TV Shows, Kids' TV",The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.
Kings,"France, Belgium, China, United States",R,Dramas,A foster mom and her houseful of kids befriend a bitter neighbor after the Rodney King verdict is handed down in 1992 Los Angeles.
Gatao - The Last Stray,,TV-MA,"Action & Adventure, Dramas, International Movies",Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.
Muzaffarnagar Baaqi Hai,India,TV-MA,"Documentaries, International Movies","Through interviews with locals, this documentary investigates the triggers and outcomes of the 2013 communal riots in the heart of Uttar Pradesh."
Lupin the 3rd: The Castle of Cagliostro: Special Edition,Japan,PG-13,"Action & Adventure, Anime Features, Classic Movies","Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress."
